depth	id	text	label	desc	term	page	arabic_text	arabic_desc
8	maq2-1-4-1-5			(iii) [Every proposition is in itself quadripartite]		131		
8	maq2-1-4-1-6			(iv) [The modalized proposition]		131		
8	maq2-1-4-1-7			(v) [Doubts and replies]		131		
8	maq2-1-4-1-8			(vi) [The quantifier is not part of the intelligible proposition]		132		
8	maq2-1-4-1-9			(vii) [Affirmation and negation]		132		
8	maq2-1-4-1-10			(viii) [Doubt on the judgment by special negation]		133		
8	maq2-1-4-1-11			(ix) [Affirmation is simpler (absaṭ) than negation]		133		
6	maq2-1-1-1-mat	2.1.1.1.2		Matter	mādda	134		
7	maq2-1-1-1-mat-sh	2.1.1.1.2.1		Shared by subject and predicate		134		
8	maq2-1-4-1-13			(i) [Indefiniteness (ʿudūl) and determinateness (taḥṣīl)]		134		
8	maq2-1-4-1-14			(ii) [Criticism of the claim that negation correctly applies to the privative unlike affirmation to the indefinite]		136		
8	maq2-1-4-1-15			(iii) [Whether the indefinite signifies privation opposite to possession or what is more general]		137		
8	maq2-1-4-1-16			(iv) [Criticism of the claim that the affirmative inevitably requires the existence of the subject]		138		
7	maq2-1-1-1-mat-subj	2.1.1.1.2.2		Proper to the subject		138		
8	maq2-1-1-1-mat-subj-sing	2.1.1.1.2.2.1		Specificity (khuṣūṣ), indeterminateness (ihmāl), and quantification (ḥaṣr)		138		
9	maq2-1-1-1-mat-subj-sing-q	2.1.1.1.2.2.1.1		Quantified propositions	musawwarāt			
10	maq2-1-4-2	2.1.1.1.2.2.1.1.1		Verification of the universal affirmative		140		
11	maq2-1-4-2-1			(i) [The essentialist reading]				
11	maq2-1-1-1-mat-subj-sing-q-ua-2			(ii) [The externalist reading]				
10	maq2-1-4-2-2	2.1.1.1.2.2.1.1.2		Verification of the universal negative				
10	maq2-1-4-3	2.1.1.1.2.2.1.1.3		The particular proposition				
9	maq2-1-4-4	2.1.1.1.2.2.1.2		Indeterminate propositions	muhmalāt			
7	maq2-1-1-1-mat-pred	2.1.1.1.2.3		Proper to the predicate		146		
8	maq2-1-4-5	2.1.1.1.2.3.1		Quantifiers in the predicates		146		
8	maq2-1-4-6	2.1.1.1.2.3.2		[The modes of propositions]		149		
9	maq2-1-4-6-1	2.1.1.1.2.3.2.1		Necessity	ḍarūra	150		
9	maq2-1-4-6-2	2.1.1.1.2.3.2.2		Possibile	mumkin	152		
9	maq2-1-4-6-3	2.1.1.1.2.3.2.3		The necessary and the possible with respect to the mind		156		
10	maq2-1-4-6-3-1			(i) [Mental necessity is more specific than external necessity]				
10	maq2-1-4-6-3-2			(ii) [Immediacy of mental necessity and mental possibility]				
9	maq2-1-4-6-4	2.1.1.1.2.3.2.4		Mutual implication of the modalized				
9	maq2-1-4-6-5	2.1.1.1.2.3.2.5		Divisions of propositions with respect to absoluteness and modalization				
10	maq2-1-1-1-mat-pred-modes-div-abs	2.1.1.1.2.3.2.5.1		Absolute propositions				
11	maq2-1-4-6-5-2			(i) [Universal affirmative]		161		
11	maq2-1-4-6-5-3			(ii) [Universal negative]		163		
10	maq2-1-1-1-mat-pred-modes-div-mod	2.1.1.1.2.3.2.5.2		Modalized propositions		164		
11	maq2-1-4-6-6-1	2.1.1.1.2.3.2.5.2.1		[Species of the modes]				
12	maq2-1-4-6-6-1-1	2.1.1.1.2.3.2.5.2.1.1		[Species of the modes with respect to perpetuity and non-perpetuity]		164		
13	maq2-1-4-6-6-1-1-1	(i) Perpetual				164		
13	maq2-1-4-6-6-1-1-2	(ii) Convertible absolute descriptional				165		
13	maq2-1-4-6-6-1-1-3	(iii) non-perpetual existential				165		
13	maq2-1-4-6-6-1-1-4	(iv) conventional existential				166		
12	maq2-1-4-6-6-1-2	2.1.1.1.2.3.2.5.2.1.2		[Species of the modes with respect to necessity and non-necessity]		166		
13	maq2-1-4-6-6-1-2-1	2.1.1.1.2.3.2.5.2.1.2.1		[Necessity as predicate or part of the predicate]		167		
13	maq2-1-4-6-6-1-2-2	2.1.1.1.2.3.2.5.2.1.2.2		[Necessity as mode of the predication]		167		
14	maq2-1-4-6-6-1-2-2-1	(i) Absolute necessity			bi-ḥasab adh-dhāt	167		
14	maq2-1-4-6-6-1-2-2-2	(ii) Descriptional necessity			bi-ḥasab al-waṣf	168		
14	maq2-1-4-6-6-1-2-2-3	(iii) Conventional necessity			ḍarūriyya ʿurfiyya			
14	maq2-1-4-6-6-1-2-2-4	(iv) Determinate temporal necessity						
14	maq2-1-4-6-6-1-2-2-5	(v) Indeterminate temporal necessity						
12	maq2-1-4-6-6-1-3	2.1.1.1.2.3.2.5.2.1.3		[Species of the modes with respect to possibility]				
11	maq2-1-4-6-6-2	2.1.1.1.2.3.2.5.2.2		[Summary of modalized propositions]		169		
12	maq2-1-4-6-6-2-1	(1) General possibility proposition			mumkina ʿāmma			
12	maq2-1-4-6-6-2-2	(2) Special possibility proposition			mumkina khāṣṣa			
12	maq2-1-4-6-6-2-3	(3) Stronger possibility proposition			mumkina llatī hiya akhaṣṣa			
12	maq2-1-4-6-6-2-4	(4) Future possibility proposition			mumkina istiqbāliyya			
12	maq2-1-4-6-6-2-5	(5) General absoluteness proposition			muṭlaqa ʿāmma			
12	maq2-1-4-6-6-2-6	(6) Non-necessary existence proposition			wujūdiyya lā darūriyya			
12	maq2-1-4-6-6-2-7	(7) Non-perpetual existence proposition			wujūdiyya lā dāʾima			
12	maq2-1-4-6-6-2-8	(8) Determinate temporal necessity proposition			ḍarūriyya waqtiyya			
12	maq2-1-4-6-6-2-9	(9) Indeterminate temporal necessity proposition			ḍarūriyya muntashira			
12	maq2-1-4-6-6-2-10	(10) Absolute necessity proposition			ḍarūriyya muṭlaqa			
12	maq2-1-4-6-6-2-11	(11) Perpetuity proposition			dāʾima			
12	maq2-1-4-6-6-2-12	(12) General conditioned proposition			mashrūṭa ʿāmma			
12	maq2-1-4-6-6-2-13	(13) Special conditioned proposition			mashrūṭa khāṣṣa			
12	maq2-1-4-6-6-2-14	(14) General conventional proposition			ʿurfiyya ʿāmma			
12	maq2-1-4-6-6-2-15	(15) Special conventional proposition			ʿurfiyya khāṣṣa			
11	maq2-1-4-6-7	2.1.1.1.2.3.2.5.2.3		Further investigations		171		
12	maq2-1-4-6-7-1	(i)		Mode of the quantifier and mode of the predication		171		
12	maq2-1-4-6-7-2	(ii)		The judgment of perpetuity concerning universals is necessary				
12	maq2-1-4-6-7-3	(iii)		[Place of the particle of negation in the removal of modalities]				
8	maq2-1-4-6-8	2.1.1.1.2.4		Considerations relative to the unity or multiplicity of a proposition		172		
5	maq2-1-1-2	2.1.1.2		Valuations	aḥkām	175		
6	maq2-1-4-6-9-1	2.1.1.2.1		Contradiction	tanāquḍ	175		
7	maq2-1-4-6-9-1-1	2.1.1.2.1.1	Mabḥath	[Definition of contradiction]		175		
7	maq2-1-4-6-9-1-2	2.1.1.2.1.2	Mabḥath	[Whether truth or falsehood in the extremes of contradiction is specific]		176		
7	maq2-1-4-6-9-1-3	2.1.1.2.1.3	Mabḥath	[Reducing the unity of the eight in contradiction to three]		177		
8	maq2-1-4-6-9-1-3-1	Singular proposition			makhṣūṣa	177		
9	maq2-1-4-6-9-1-3-1-1	(i) Subject						
9	maq2-1-4-6-9-1-3-1-2	(ii) Predicate						
9	maq2-1-4-6-9-1-3-1-3	(iii) Relation						
9	maq2-1-4-6-9-1-3-1-4	(iv) Potency or act						
9	maq2-1-4-6-9-1-3-1-5	(v) Part or whole						
9	maq2-1-4-6-9-1-3-1-6	(vi) Condition						
9	maq2-1-4-6-9-1-3-1-7	(vii) Place						
9	maq2-1-4-6-9-1-3-1-8	(viii) Time						
8	maq2-1-4-6-9-1-3-2	Indeterminate proposition			muhmala	179		
8	maq2-1-4-6-9-1-3-3	Quantified propositions			maḥṣūra	179		
7	maq2-1-4-6-9-1-4	2.1.1.2.1.4		[Contradictories of the thirteen propositions]		180		
8	maq2-1-4-6-9-1-4-1	(1) Contradictory of the general absolute proposition				180		
8	maq2-1-4-6-9-1-4-2	(2) Contradictory of the conventional absolute proposition				181		
8	maq2-1-4-6-9-1-4-3	(3) Contradictory of the non-necessary existential proposition				181		
8	maq2-1-4-6-9-1-4-4	(4) Contradictory of the non-perpetual existential proposition				181		
8	maq2-1-4-6-9-1-4-5	(5) Contradictory of the non-perpetual existential conventional proposition				182		
8	maq2-1-4-6-9-1-4-6	(6) Contradictory of the absolute necessity proposition				182		
8	maq2-1-4-6-9-1-4-7	(7) Contradictory of the conditioned necessity proposition		(general conditioned)		182		
8	maq2-1-4-6-9-1-4-8	(8) Contradictory of the conditioned necessity proposition		(special conditioned)		183		
8	maq2-1-4-6-9-1-4-9	(9) Contradictory of the temporal necessity proposition				183		
8	maq2-1-4-6-9-1-4-10	(10) Contradictory of the indeterminate necessity proposition				184		
8	maq2-1-4-6-9-1-4-11	(11) Contradictory of the perpetuity proposition				184		
8	maq2-1-4-6-9-1-4-12	(12) Contradictory of the general possibility proposition				184		
8	maq2-1-4-6-9-1-4-13	(13) Contradictory of the special possibility proposition				184		
6	maq2-1-4-6-9-2	2.1.1.2.2		Conversion	ʿaks mustawin	184		
7	maq2-1-4-6-9-2-1	(1) [Conversion of the general absolute proposition]				185		
8	maq2-1-4-6-9-2-1-1	(1.1) Universal negative				185		
8	maq2-1-4-6-9-2-1-2	(1.2) Universal affirmative				186		
8	maq2-1-4-6-9-2-1-3	(1.3) Particular affirmative				187		
8	maq2-1-4-6-9-2-1-4	(1.4) Particular negative				187		
7	maq2-1-4-6-9-2-2	(2) [Conversion of the conventional absolute proposition]				187		
8	maq2-1-4-6-9-2-2-1	(2.1) Universal negative				187		
8	maq2-1-4-6-9-2-2-2	(2.2) Universal affirmative				190		
7	maq2-1-4-6-9-2-3	(3) [Conversion of the non-necessary existential proposition]				190		
8	maq2-1-4-6-9-2-3-1	(3.1) Universal negative				190		
8	maq2-1-4-6-9-2-3-2	(3.2) Affirmative				191		
7	maq2-1-4-6-9-2-4	(4) [Conversion of the non-perpetual conventional existential proposition]				191		
7	maq2-1-4-6-9-2-5	(5) [Conversion of the absolute necessity proposition]				192		
8	maq2-1-4-6-9-2-5-1	(5.1) Universal negative				192		
8	maq2-1-4-6-9-2-5-2	(5.2) Universal affirmative				193		
7	maq2-1-4-6-9-2-6	(6) [Conversion of the conditioned necessity proposition]				195		
8	maq2-1-4-6-9-2-6-1	(6.1) Universal negative				195		
8	maq2-1-4-6-9-2-6-2	(6.2) Universal affirmative				195		
7	maq2-1-4-6-9-2-7	(7) [Conversion of the conditioned necessity proposition with the condition of non-perpetuity		(special conditioned)		195		
8	maq2-1-4-6-9-2-7-1	(7.1) Universal negative				195		
8	maq2-1-4-6-9-2-7-2	(7.2) Universal affirmative				196		
7	maq2-1-4-6-9-2-8	(8) [Conversion of the temporal and of the indeterminate necessity proposition]				196		
8	maq2-1-4-6-9-2-8-1	(8.1) Universal negative				196		
8	maq2-1-4-6-9-2-8-2	(8.2) Universal affirmative				196		
7	maq2-1-4-6-9-2-9	(9) [Conversion of the possibility proposition]				196		
8	maq2-1-4-6-9-2-9-1	(9.1) Universal negative		(general, special, or more special possibility)		196		
8	maq2-1-4-6-9-2-9-2	(9.2) Universal affirmative				196		
7	maq2-1-4-6-9-2-10	(10) [Summary of conversion of modalized propositions based on their relative strength]				197		
8	maq2-1-4-6-9-2-10-1	(10.1) Negative propositions				198		
8	maq2-1-4-6-9-2-10-2	(10.2) Affirmative propositions				199		
9	maq2-1-4-6-9-2-10-2-1	(10.2.1) Essentialist reading of the subject term						
9	maq2-1-4-6-9-2-10-2-2	(10.2.2) Externalist reading of the subject term						
6	maq2-1-4-6-9-3	2.1.1.2.3		Contraposition	ʿaks an-naqīḍ	200		
4	maq2-1-5	2.1.2		Hypothetical propositions		205		
5	maq2-1-5-1	2.1.2.1		Conditional proposition		207		
6	maq2-1-5-1-1	2.1.2.1	Mabḥath	[Conditional particles]		208		
6	maq2-1-5-1-2	2.1.2.2	Mabḥath	[Antecedent and consequent]		208		
6	maq2-1-5-1-3	2.1.2.3	Mabḥath	Implicative conditional proposition	luzūmiyya	208		
5	maq2-1-5-2	2.1.2.2		Disjunctive proposition		208		
6	maq2-1-5-2-div	2.1.2.2.1		Divisions of disjunctives		208		
7	maq2-1-5-2-1			(i) [Disjunction of a proposition and its contradictory]		209		
7	maq2-1-5-2-2			(ii) [Disjunction of a proposition and something equivalent to its contradictory]	munfaṣila ḥaqīqā	209		
7	maq2-1-5-2-3			(iii) [Disjunction of a proposition and something more specific than its contradictory]		209		
7	maq2-1-5-2-4			(iv) [Disjunction of a proposition and something more general than its contradictory]		209		
7	maq2-1-5-2-5			(v) [Disjunction of a proposition and something more specific than its contradictory in one way and more general in another way]		210		
6	maq2-1-5-2-6	2.1.2.2.2		Valuations of these divisions		210		
7	maq2-1-5-2-6-1	2.1.2.2.2.1		[Valuations of the real disjunction]		210		
7	maq2-1-5-2-6-2	2.1.2.2.2.2		[Valuations of the one that prevents joining]		211		
7	maq2-1-5-2-6-3	2.1.2.2.2.3		[Valuations of the one that prevents excluding]		212		
7	maq2-1-5-2-6-4	2.1.2.2.2.4		[Divisions of the one that prevents excluding]		212		
8	maq2-1-5-2-6-4-1	(i) First type				212		
8	maq2-1-5-2-6-4-2	(ii) Second type				213		
8	maq2-1-5-2-6-4-3	(iii) Third type				213		
8	maq2-1-5-2-6-4-4	(iv) Fourth type				213		
8	maq2-1-5-2-6-4-5	(v) Fifth type				213		
8	maq2-1-5-2-6-4-6	(vi) Sixth type				213		
7	maq2-1-5-2-6-5	2.1.2.2.2.5		[Valuations common to all disjunctions]		213		
5	maq2-1-5-3	2.1.2.3		Composition of hypothetical propositions		214		
6	maq2-1-5-3-1	2.1.2.3.1		[Composition of conditional propositions]		214		
7	maq2-1-5-3-1-1	2.1.2.3.1.1		[Of two categoricals]		214		
7	maq2-1-5-3-1-2	2.1.2.3.1.2		[Of two conditionals]		214		
7	maq2-1-5-3-1-3	2.1.2.3.1.3		[Of two disjunctives]		214		
7	maq2-1-5-3-1-4	2.1.2.3.1.4		[Of a categorical and a conditional]		214		
7	maq2-1-5-3-1-5	2.1.2.3.1.5		[Of a conditional and a categorical]		215		
7	maq2-1-5-3-1-6	2.1.2.3.1.6		[Of a categorical and a disjunctive]		215		
7	maq2-1-5-3-1-7	2.1.2.3.1.7		[Of a disjunctive and a categorical]		215		
7	maq2-1-5-3-1-8	2.1.2.3.1.8		[Of a conditional and a disjunctive with the conditional as antecedent]		215		
7	maq2-1-5-3-1-9	2.1.2.3.1.9		[Of a conditional and a disjunctive with the disjunctive as antecedent]		215		
6	maq2-1-5-3-2	2.1.2.3.2		[Composition of disjunctive propositions]		215		
7	maq2-1-5-3-2-1	2.1.2.3.2.1		[Of two categoricals]		215		
7	maq2-1-5-3-2-2	2.1.2.3.2.2		[Of two conditionals]		216		
7	maq2-1-5-3-2-3	2.1.2.3.2.3		[Of two disjunctives]		216		
7	maq2-1-5-3-2-4	2.1.2.3.2.4		[Of a categorical and a conditional]		216		
7	maq2-1-5-3-2-5	2.1.2.3.2.5		[Of categorical and a disjunctive]		216		
7	maq2-1-5-3-2-6	2.1.2.3.2.6		[Of a conditional and a disjunctive]		217		
5	maq2-1-5-4	2.1.2.4		Parts of hypotheticals		217		
6	maq2-1-5-4-1	2.1.2.4.1		Unity conditions		217		
6	maq2-1-5-4-2	2.1.2.4.2		[Parts (i) shared entirely, (ii) partially, or (iii) not at all]		218		
6	maq2-1-5-4-3	2.1.2.4.3		[Position of hypothetical particles]		219		
7	maq2-1-5-4-3-1	2.1.2.4.3.1		[Conditional with particle after the subject]		219		
7	maq2-1-5-4-3-2	2.1.2.4.3.2		[Conditional with particle before the subject]		219		
7	maq2-1-5-4-3-3	2.1.2.4.3.3		[Disjunctive with particle after the subject]		219		
7	maq2-1-5-4-3-4	2.1.2.4.3.4		[Disjunctive with particle before the subject]		220		
6	maq2-1-5-4-4	2.1.2.4.4		[Reduction of the hypothetical proposition to the categorical proposition]		220		
5	maq2-1-5-5	2.1.2.5		Affirmation and negation of hypothetical propositions		221		
6	maq2-1-5-5-1	2.1.2.5.1		[Conditional]		221		
7	maq2-1-5-5-1-1	2.1.2.5.1.1		[Affirmative conditional (luzūmi)]		221		
7	maq2-1-5-5-1-2	2.1.2.5.1.2		[Negative conditional and contradictory of affirmative conditional]		221		
6	maq2-1-5-5-2	2.1.2.5.2		[Disjunctive]		222		
7	maq2-1-5-5-2-1	2.1.2.5.2.1		[Affirmative disjunctive]		222		
7	maq2-1-5-5-2-2	2.1.2.5.2.2		[Negative disjunctive]		222		
5	maq2-1-5-6	2.1.2.6		The truth of hypothetical propositions and their falsehood		222		
6	maq2-1-5-6-1	2.1.2.6.1		[Conditional]		222		
7	maq2-1-5-6-1-1	2.1.2.6.1.1		Truth		222		
7	maq2-1-5-6-1-2	2.1.2.6.1.2		Falsehood		222		
6	maq2-1-5-6-2	2.1.2.6.2		[Disjunctive]		223		
7	maq2-1-5-6-2-1	2.1.2.6.2.1		[Real disjunction (exclusive and exhaustive)]	ḥaqīqīyya	223		
7	maq2-1-5-6-2-2	2.1.2.6.2.2		[Inclusive disjunction]	māniʿ al-khuluww	223		
7	maq2-1-5-6-2-3	2.1.2.6.2.3		[Exclusive non-exhaustive disjunction]	māniʿ al-jamʿ	223		
5	maq2-1-5-7	2.1.2.7		Quantified, indeterminate, and singular hypothetical propositions		223		
6	maq2-1-5-7-1	2.1.2.7.1		[The quantifier in hypothetical propositions]		223		
6	maq2-1-5-7-2	2.1.2.7.2		[The four quantified conditional propositions]		224		
7	maq2-1-5-7-2-1	2.1.2.7.2.1		[Universal affirmative conditional]		224		
8	maq2-1-5-7-2-1-1	(a) Truth conditions of the coincidental			ittifāqī	224		
9	maq2-1-5-7-2-1-1-1	(aa) Essentialist reading						
9	maq2-1-5-7-2-1-1-2	(ab) Externalist reading						
8	maq2-1-5-7-2-1-2	(b) Truth conditions of the implicative			luzūmī	225		
7	maq2-1-5-7-2-2	2.1.2.7.2.2		[Particular affirmative conditional]		225		
8	maq2-1-5-7-2-2-1	(a) Truth				225		
8	maq2-1-5-7-2-2-2	(b) Two problems				225		
9	maq2-1-5-7-2-2-2-1	(ba) First problem						
9	maq2-1-5-7-2-2-2-2	(bb) Second problem						
7	maq2-1-5-7-2-3	2.1.2.7.2.3		[Universal negative conditional]		226		
7	maq2-1-5-7-2-4	2.1.2.7.2.4		[Particular negative conditional]		227		
6	maq2-1-5-7-3	2.1.2.7.3		[The four quantified disjunctive propositions]		227		
7	maq2-1-5-7-3-1	2.1.2.7.3.1		[Universal affirmative disjunctive]		227		
7	maq2-1-5-7-3-2	2.1.2.7.3.2		[Universal negative disjunctive]		227		
7	maq2-1-5-7-3-3	2.1.2.7.3.3		[Particular affirmative disjunctive]		228		
7	maq2-1-5-7-3-4	2.1.2.7.3.4		[Particular negative disjunctive]		228		
